StuduentID;ModuleCode;AcYear;Mark;Grade;Age;Gender;Status;CourseCode;Course Name;Level of Study;;;Row Labels;Count of Attendance(Status);Percentage
00000002;GAV3009-N;2018/9;13;F;22;M;ABS;ZDSNG;BA (Hons) Computer Games Art;BA;;;NM;1,2%;
00000002;GAV3020-N;2018/9;25;F;22;M;ABS;ZDSNG;BA (Hons) Computer Games Art;BA;;;P;60,4%;
00000004;DES3095-N;2018/9;80;A;34;M;P;CGSSNG;BA (Hons) Comics, Graphic Novels and Sequential Art;BA;;;PDG;1,5%;
00000007;CAM1002-N;2018/9;0;FS;19;F;AA;MUTBS;BSc (Hons) Music Technology;BS;;;PRM;0,1%;
00000011;COM3038-N;2018/9;60;B;21;M;ABS;IPMMS;MSc IT Project Management;MS;;;PROJ;0,2%;
00000012;COM3041-N;2018/9;57;C;21;M;ABS;CPTFSNG;BSc (Hons) Computing with Foundation Year;BS;;;PWR;0,7%;
00000022;CAM4037-N;2018/9;0;F;19;F;ABS;MPRPRD;MA Multimedia Public Relations;MA;;;;;
00000022;CAM4039-N;2018/9;0;F;19;F;ABS;MPRPRD;MA Multimedia Public Relations;MA;;;;;
00000032;CAM4061-N;2018/9;76;A;18;F;P;PFTMA;MA Producing for Film and Television;MA;;;;;
00000556;GAV2017-N;2018/9;83;A;48;F;P;ZDFSNG;BA (Hons) Computer Games Art (with Foundation Year);BA;;;;;
00000556;GAV2029-N;2018/9;83;A;48;F;P;ZDFSNG;BA (Hons) Computer Games Art (with Foundation Year);BA;;;;;
00000560;COM3064-N;2018/9;0;WD;21;F;P;CSNSNG;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00001426;CIS2016-N;2018/9;43;D;22;M;P;HIFBS;BSc (Hons) Health Informatics;BS;;;;;
00000007;CAM1000-N;2018/9;0;FS;19;F;AA;MUTBS;BSc (Hons) Music Technology;BS;;;;;
00000026;GAV4018-N;2018/9;63;B;18;F;ABS;CAMA;MA Concept Art;MA;;;;;
00000026;GAV4028-N;2018/9;51;C;18;F;ABS;CAMA;MA Concept Art;MA;;;;;
00000032;CAM4062-N;2018/9;70;A;18;F;P;PFTMA;MA Producing for Film and Television;MA;;;;;
00000036;GAV4018-N;2018/9;40;F;21;M;NM;CMA;MA Concept Art;MA;;;;;
00000036;GAV4028-N;2018/9;54;C;21;M;NM;CMA;MA Concept Art;MA;;;;;
00002371;GAV4003-N;2018/9;5;F;21;M;CC;AGMA;MA Games Design;MA;;;;;
00000008;COM3036-N;2018/9;88;A;56;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000015;MFP2006-N;2018/9;80;A;18;F;AA;FTPBA;BA (Hons) Film and Television Production;BA;;;;;
00000025;CIS1013-N;2018/9;12;F;41;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00002366;CAM4036-N;2018/9;65;B;18;M;P;DCMPRD;MA Digital Media and Communications;MA;;;;;
00002367;COM3064-N;2018/9;70;A;22;M;P;CSNSNG;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000009;GAV4018-N;2018/9;75;A;19;F;P;CMA;MA Concept Art;MA;;;;;
00000009;GAV4028-N;2018/9;67;B;19;F;P;CMA;MA Concept Art;MA;;;;;
00000010;MPR3002-N;2018/9;80;A;18;M;P;JOUSNG;BA (Hons) Journalism;BA;;;;;
00000019;GAV2021-N;2018/9;66;B;54;M;P;GMSNG;BA (Hons) Computer Games Design;BA;;;;;
00000021;COM3036-N;2018/9;40;D;42;M;ABS;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000031;CIS4022-N;2018/9;76;A;22;M;P;IPMPRD;MSc IT Project Management;MS;;;;;
00000040;CIS4021-N;2018/9;72;A;18;F;P;IPMPRD;MSc IT Project Management;MS;;;;;
00000040;CIS4022-N;2018/9;76;A;18;F;P;IPMPRD;MSc IT Project Management;MS;;;;;
00000020;CIS4008-N;2018/9;81;A;44;M;P;CNPRD;MSc Computing;MS;;;;;
00000059;COM3037-N;2018/9;60;B;19;M;P;CPTSNG;BSc (Hons) Computing;BS;;;;;
00002371;GAV4017-N;2018/9;80;A;21;M;CC;AGMA;MA Games Design;MA;;;;;
00002373;MUL3055-N;2018/9;30;F;18;M;P;WMMSNG;BA (Hons) Web and Multimedia;BA;;;;;
00000008;COM3037-N;2018/9;85;A;56;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000016;GAV4017-N;2018/9;60;B;43;M;P;ATDGMA;MA 3D Games Art;MA;;;;;
00000016;GAV4037-N;2018/9;50;C;43;M;P;ATDGMA;MA 3D Games Art;MA;;;;;
00000029;GAV4017-N;2018/9;88;A;53;F;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000029;GAV4037-N;2018/9;65;B;53;F;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000038;GAV4017-N;2018/9;0;F;19;M;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000038;GAV4037-N;2018/9;0;F;19;M;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000137;CIS2014-N;2018/9;78;A;42;F;P;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000560;COM3065-N;2018/9;0;WD;21;F;P;CSNSNG;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000574;CAM4016-N;2018/9;64;B;21;F;P;FUAPRD;MA Fine Art;MA;;;;;
00001426;CIS2017-N;2018/9;70;A;22;M;P;HIFBS;BSc (Hons) Health Informatics;BS;;;;;
00001430;CIS4009-N;2018/9;0;WS;21;M;ABS;DTSAMS;MSc Data Science;MS;;;;;
00001430;CIS4010-N;2018/9;0;WS;21;M;ABS;DTSAMS;MSc Data Science;MS;;;;;
00002364;CIS2017-N;2018/9;78;A;18;M;P;DWEBS;#N/A;#N/A;;;;;
00002369;CAM4016-N;2018/9;0;DA;20;F;P;FUAPRD;MA Fine Art;MA;;;;;
00002372;CAM1036-N;2018/9;71;A;22;M;P;MDCBA;BA (Hons) Media and Communications;BA;;;;;
00000001;VIS3109-N;2018/9;70;A;19;F;PDG;CVEFSNG;BA (Hons) Computer Animation and Visual Effects (with Foundation Year);BA;;;;;
00000002;VIS3104-N;2018/9;0;F;22;M;ABS;ZDSNG;BA (Hons) Computer Games Art;BA;;;;;
00000004;DES3096-N;2018/9;90;A;34;M;P;CGSSNG;BA (Hons) Comics, Graphic Novels and Sequential Art;BA;;;;;
00000006;DES4032-N;2018/9;0;F;61;M;ABS;FUAPRD;MA Fine Art;MA;;;;;
00000007;CAM1001-N;2018/9;0;FS;19;F;AA;MUTBS;BSc (Hons) Music Technology;BS;;;;;
00000022;CAM4040-N;2018/9;0;F;19;F;ABS;MPRPRD;MA Multimedia Public Relations;MA;;;;;
00000044;VIS3104-N;2018/9;70;A;18;M;P;ZDSNG;BA (Hons) Computer Games Art;BA;;;;;
00002366;CAM4037-N;2018/9;75;A;18;M;P;DCMPRD;MA Digital Media and Communications;MA;;;;;
00002366;CAM4042-N;2018/9;65;B;18;M;P;DCMPRD;MA Digital Media and Communications;MA;;;;;
00000021;COM3041-N;2018/9;0;F;42;M;ABS;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000024;GAV2005-N;2018/9;55;C;19;M;P;TGDBS;BSc (Hons) Technical Game Development;BS;;;;;
00000030;GAV3009-N;2018/9;55;C;59;F;ABS;CANSNG;BA (Hons) Computer Games Animation;BA;;;;;
00000030;GAV3020-N;2018/9;80;A;59;F;ABS;CANSNG;BA (Hons) Computer Games Animation;BA;;;;;
00000030;VIS3105-N;2018/9;61;B;59;F;ABS;CANSNG;BA (Hons) Computer Games Animation;BA;;;;;
00000031;CIS4023-N;2018/9;63;B;22;M;P;IPMPRD;MSc IT Project Management;MS;;;;;
00000034;CAM1030-N;2018/9;52;C;19;M;ABS;CGSSNG;BA (Hons) Comics, Graphic Novels and Sequential Art;BA;;;;;
00000039;GAV4038-N;2018/9;60;B;22;M;P;TDGMA;MA 3D Games Art;MA;;;;;
00000040;CIS4023-N;2018/9;61;B;18;F;P;IPMPRD;MSc IT Project Management;MS;;;;;
00000042;GAV3009-N;2018/9;60;B;65;M;P;GMSNG;BA (Hons) Computer Games Design;BA;;;;;
00000042;GAV3020-N;2018/9;65;B;65;M;P;GMSNG;BA (Hons) Computer Games Design;BA;;;;;
00000043;GAV3009-N;2018/9;56;C;21;F;ABS;ZDSNG;BA (Hons) Computer Games Art;BA;;;;;
00000043;GAV3020-N;2018/9;60;B;21;F;ABS;ZDSNG;BA (Hons) Computer Games Art;BA;;;;;
00000047;CIS2018-N;2018/9;0;F;22;M;ABS;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000047;CIS2026-N;2018/9;0;F;22;M;ABS;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000560;COM3067-N;2018/9;0;WD;21;F;P;CSNSNG;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000574;CAM4057-N;2018/9;71;A;21;F;P;FUAPRD;MA Fine Art;MA;;;;;
00001430;CIS4008-N;2018/9;0;WS;21;M;ABS;DTSAMS;MSc Data Science;MS;;;;;
00002364;CIS2019-N;2018/9;56;C;18;M;P;DWEBS;#N/A;#N/A;;;;;
00002369;CAM4057-N;2018/9;0;DA;20;F;P;FUAPRD;MA Fine Art;MA;;;;;
00000012;COM3037-N;2018/9;80;A;21;M;ABS;CPTFSNG;BSc (Hons) Computing with Foundation Year;BS;;;;;
00000012;MUL3055-N;2018/9;83;A;21;M;ABS;CPTFSNG;BSc (Hons) Computing with Foundation Year;BS;;;;;
00000026;GAV4017-N;2018/9;63;B;18;F;ABS;CAMA;MA Concept Art;MA;;;;;
00000036;GAV4017-N;2018/9;23;F;21;M;NM;CMA;MA Concept Art;MA;;;;;
00000045;COM3037-N;2018/9;13;F;44;F;ABS;CSCPRD;MComp (Hons) Computer Science;MC;;;;;
00000056;CIS4037-N;2018/9;64;B;18;F;P;CSMS;MSc Computer Science;MS;;;;;
00000056;CIS4040-N;2018/9;74;A;18;F;P;CSMS;MSc Computer Science;MS;;;;;
00000050;DES4032-N;2018/9;85;A;19;F;P;FUAPRD;MA Fine Art;MA;;;;;
00000059;COM3040-N;2018/9;68;B;19;M;P;CPTSNG;BSc (Hons) Computing;BS;;;;;
00002147;DES4032-N;2018/9;62;B;58;F;ABS;FUAPRD;MA Fine Art;MA;;;;;
00000025;CIS1018-N;2018/9;71;A;41;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000035;GAV1003-N;2018/9;60;B;66;F;P;CATSNG;BA (Hons) Concept Art;BA;;;;;
00000035;GAV1009-N;2018/9;56;C;66;F;P;CATSNG;BA (Hons) Concept Art;BA;;;;;
00000046;CAM4063-N;2018/9;60;B;51;F;P;PFTMA;MA Producing for Film and Television;MA;;;;;
00000018;CAM4017-N;2018/9;67;B;20;M;P;FUAPRD;MA Fine Art;MA;;;;;
00002187;GAV4038-N;2018/9;76;A;22;F;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000023;GAV2004-N;2018/9;0;F;69;F;ABS;UPSNG;BSc (Hons) Computer Games Programming;BS;;;;;
00000023;GAV2005-N;2018/9;22;F;69;F;ABS;UPSNG;BSc (Hons) Computer Games Programming;BS;;;;;
00000027;GAV4020-N;2018/9;91;A;19;M;ABS;GMA;MA Games Design;MA;;;;;
00000028;CIS4023-N;2018/9;52;C;19;F;P;IPMPRD;MSc IT Project Management;MS;;;;;
00000033;GAV4038-N;2018/9;65;B;21;F;P;TDGMA;MA 3D Games Art;MA;;;;;
00000041;GAV3009-N;2018/9;37;F;22;M;ABS;TGDBS;BSc (Hons) Technical Game Development;BS;;;;;
00000041;GAV3020-N;2018/9;24;F;22;M;ABS;TGDBS;BSc (Hons) Technical Game Development;BS;;;;;
00000041;VIS3126-N;2018/9;33;F;22;M;ABS;TGDBS;BSc (Hons) Technical Game Development;BS;;;;;
00000055;CIS1010-N;2018/9;61;B;39;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000064;GAV4038-N;2018/9;51;C;21;F;P;TDGMA;MA 3D Games Art;MA;;;;;
00000020;CIS4023-N;2018/9;80;A;44;M;P;CNPRD;MSc Computing;MS;;;;;
00002371;GAV4020-N;2018/9;65;B;21;M;CC;AGMA;MA Games Design;MA;;;;;
00000008;COM3041-N;2018/9;0;DA;56;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000015;MFP2005-N;2018/9;75;A;18;F;AA;FTPBA;BA (Hons) Film and Television Production;BA;;;;;
00000015;MFP2008-N;2018/9;66;B;18;F;AA;FTPBA;BA (Hons) Film and Television Production;BA;;;;;
00000016;GAV4038-N;2018/9;48;F;43;M;P;ATDGMA;MA 3D Games Art;MA;;;;;
00000025;CIS1010-N;2018/9;84;A;41;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000029;GAV4038-N;2018/9;62;B;53;F;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000035;GAV1015-N;2018/9;72;A;66;F;P;CATSNG;BA (Hons) Concept Art;BA;;;;;
00000038;GAV4038-N;2018/9;0;F;19;M;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000046;CAM4061-N;2018/9;74;A;51;F;P;PFTMA;MA Producing for Film and Television;MA;;;;;
00000062;GAV2024-N;2018/9;0;F;20;M;ABS;AVBA;BA (Hons) Computer Animation;BA;;;;;
00000065;COM4088-N;2018/9;75;A;19;F;P;CGPPRD;MComp (Hons) Computer Games Programming;MC;;;;;
00000065;COM4090-N;2018/9;70;A;19;F;P;CGPPRD;MComp (Hons) Computer Games Programming;MC;;;;;
00000017;CIS4008-N;2018/9;0;DA;19;M;ABS;CNPRD;MSc Computing;MS;;;;;
00000018;CAM4057-N;2018/9;76;A;20;M;P;FUAPRD;MA Fine Art;MA;;;;;
00001605;CIS4008-N;2018/9;90;A;69;F;ABS;CNPRD;MSc Computing;MS;;;;;
00001606;CIS4019-N;2018/9;0;F;18;F;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00001606;CIS4020-N;2018/9;0;F;18;F;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00002187;GAV4017-N;2018/9;74;A;22;F;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00002187;GAV4037-N;2018/9;62;B;22;F;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000013;CIS0002-N;2018/9;0;WD;63;M;ABS;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000027;GAV4017-N;2018/9;74;A;19;M;ABS;GMA;MA Games Design;MA;;;;;
00000033;GAV4017-N;2018/9;88;A;21;F;P;TDGMA;MA 3D Games Art;MA;;;;;
00000033;GAV4037-N;2018/9;64;B;21;F;P;TDGMA;MA 3D Games Art;MA;;;;;
00000037;CIS4008-N;2018/9;63;B;58;M;P;CNPRD;MSc Computing;MS;;;;;
00000037;CIS4037-N;2018/9;86;A;58;M;P;CNPRD;MSc Computing;MS;;;;;
00000049;GAV4017-N;2018/9;0;F;18;M;P;AQMA;MA Animation;MA;;;;;
00000049;GAV4033-N;2018/9;0;F;18;M;P;AQMA;MA Animation;MA;;;;;
00001480;MED3036-N;2018/9;63;B;21;M;P;MZSNG;BA (Hons) Media Studies;BA;;;;;
00002367;COM3065-N;2018/9;46;D;22;M;P;CSNSNG;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00002370;CAM4016-N;2018/9;72;A;19;M;P;FUAPRD;MA Fine Art;MA;;;;;
00000003;DES4032-N;2018/9;60;B;48;M;P;FUAPRD;MA Fine Art;MA;;;;;
00000010;MED3030-N;2018/9;67;B;18;M;P;JOUSNG;BA (Hons) Journalism;BA;;;;;
00000019;GAV2027-N;2018/9;0;F;54;M;P;GMSNG;BA (Hons) Computer Games Design;BA;;;;;
00000024;GAV2027-N;2018/9;52;C;19;M;P;TGDBS;BSc (Hons) Technical Game Development;BS;;;;;
00000031;COM4077-N;2018/9;74;A;22;M;P;IPMPRD;MSc IT Project Management;MS;;;;;
00000043;VIS3104-N;2018/9;78;A;21;F;ABS;ZDSNG;BA (Hons) Computer Games Art;BA;;;;;
00000047;CIS2014-N;2018/9;30;F;22;M;ABS;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000048;CAM4016-N;2018/9;40;F;18;F;P;FUAPRD;MA Fine Art;MA;;;;;
00000051;CIS1007-N;2018/9;73;A;45;M;ABS;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000051;CIS1018-N;2018/9;60;B;45;M;ABS;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000018;CAM4016-N;2018/9;70;A;20;M;P;FUAPRD;MA Fine Art;MA;;;;;
00001605;CIS4010-N;2018/9;80;A;69;F;ABS;CNPRD;MSc Computing;MS;;;;;
00000013;CIS0003-N;2018/9;0;WD;63;M;ABS;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000013;CIS0005-N;2018/9;0;WD;63;M;ABS;CYBBS;BSc (Hons) Cybersecurity and Networks;BS;;;;;
00000023;GAV2016-N;2018/9;4;F;69;F;ABS;UPSNG;BSc (Hons) Computer Games Programming;BS;;;;;
00000037;CIS4010-N;2018/9;85;A;58;M;P;CNPRD;MSc Computing;MS;;;;;
00000055;CIS1018-N;2018/9;31;F;39;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000057;MED3030-N;2018/9;64;B;22;M;P;JOUSNG;BA (Hons) Journalism;BA;;;;;
00001606;CIS4012-N;2018/9;0;F;18;F;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00000027;GAV4003-N;2018/9;63;B;19;M;ABS;GMA;MA Games Design;MA;;;;;
00000028;CIS4021-N;2018/9;70;A;19;F;P;IPMPRD;MSc IT Project Management;MS;;;;;
00000028;CIS4022-N;2018/9;74;A;19;F;P;IPMPRD;MSc IT Project Management;MS;;;;;
00000049;GAV4034-N;2018/9;0;F;18;M;P;AQMA;MA Animation;MA;;;;;
00000055;CIS1013-N;2018/9;35;F;39;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000057;MED3047-N;2018/9;80;A;22;M;P;JOUSNG;BA (Hons) Journalism;BA;;;;;
00000069;GAV4003-N;2018/9;54;C;20;M;ABS;GMA;MA Games Design;MA;;;;;
00000024;GAV2011-N;2018/9;62;B;19;M;P;TGDBS;BSc (Hons) Technical Game Development;BS;;;;;
00000039;GAV4017-N;2018/9;74;A;22;M;P;TDGMA;MA 3D Games Art;MA;;;;;
00000039;GAV4037-N;2018/9;52;C;22;M;P;TDGMA;MA 3D Games Art;MA;;;;;
00000042;VIS3110-N;2018/9;57;C;65;M;P;GMSNG;BA (Hons) Computer Games Design;BA;;;;;
00000048;CAM4057-N;2018/9;12;F;18;F;P;FUAPRD;MA Fine Art;MA;;;;;
00000052;COM3037-N;2018/9;12;F;50;F;P;CPTSNG;BSc (Hons) Computing;BS;;;;;
00000063;GAV4017-N;2018/9;70;A;21;F;P;TDGMA;MA 3D Games Art;MA;;;;;
00000063;GAV4037-N;2018/9;60;B;21;F;P;TDGMA;MA 3D Games Art;MA;;;;;
00000073;MUL3055-N;2018/9;64;B;43;F;ABS;CPTSNG;BSc (Hons) Computing;BS;;;;;
00000084;GAV4017-N;2018/9;50;C;61;M;P;CMA;MA Concept Art;MA;;;;;
00000089;MED3040-N;2018/9;31;F;20;F;ABS;TFPSNG;BA (Hons) Television and Film Production;BA;;;;;
00000096;GAV4017-N;2018/9;58;C;18;F;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000096;GAV4037-N;2018/9;56;C;18;F;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000102;GAV4017-N;2018/9;0;WD;36;M;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000102;GAV4037-N;2018/9;0;WD;36;M;ABS;TDGMA;MA 3D Games Art;MA;;;;;
00000112;MED3040-N;2018/9;61;B;20;F;P;TFPSNG;BA (Hons) Television and Film Production;BA;;;;;
00000113;VIS3110-N;2018/9;45;D;20;F;ABS;GMSNG;BA (Hons) Computer Games Design;BA;;;;;
00000114;CAM4057-N;2018/9;73;A;18;M;P;FUAPRD;MA Fine Art;MA;;;;;
00000115;CIS2019-N;2018/9;36;F;67;M;ABS;WBPBS;BSc (Hons) Web Production;BS;;;;;
00000058;COM3037-N;2018/9;50;C;66;F;ABS;CPTSNG;BSc (Hons) Computing;BS;;;;;
00000058;MUL3055-N;2018/9;30;F;66;F;ABS;CPTSNG;BSc (Hons) Computing;BS;;;;;
00000061;COM3047-N;2018/9;77;A;20;F;P;UPSNG;BSc (Hons) Computer Games Programming;BS;;;;;
00000061;COM3050-N;2018/9;53;C;20;F;P;UPSNG;BSc (Hons) Computer Games Programming;BS;;;;;
00000072;GAV4017-N;2018/9;60;B;19;F;P;CAMA;MA Concept Art;MA;;;;;
00000081;GAV4017-N;2018/9;60;B;57;F;ABS;ATDGMA;MA 3D Games Art;MA;;;;;
00000081;GAV4037-N;2018/9;58;C;57;F;ABS;ATDGMA;MA 3D Games Art;MA;;;;;
00000082;CIS4019-N;2018/9;0;WS;21;M;P;CBSAMS;MSc Cybersecurity;MS;;;;;
00000082;CIS4020-N;2018/9;0;WS;21;M;P;CBSAMS;MSc Cybersecurity;MS;;;;;
00000083;CIS4019-N;2018/9;78;A;55;M;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00000083;CIS4020-N;2018/9;75;A;55;M;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00000091;GAV4017-N;2018/9;55;C;20;F;ABS;CMA;MA Concept Art;MA;;;;;
00000092;GAV4017-N;2018/9;60;B;66;F;P;GMA;MA Games Design;MA;;;;;
00000093;CIS4019-N;2018/9;0;F;21;M;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00000093;CIS4020-N;2018/9;0;F;21;M;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00000094;MUL3051-N;2018/9;58;C;54;M;P;INFSNG;BSc (Hons) Information Technology;BS;;;;;
00000105;GAV2008-N;2018/9;48;D;21;M;P;CCHFSNG;BA (Hons) Computer Character Animation (with Foundation Year);BA;;;;;
00000106;PER3008-N;2018/9;67;B;60;F;P;PLMSNG;BA (Hons) Performance for Live and Recorded Media;BA;;;;;
00000107;PER3008-N;2018/9;60;B;63;M;P;PLMSNG;BA (Hons) Performance for Live and Recorded Media;BA;;;;;
00000116;MUL3051-N;2018/9;70;A;60;M;P;CPTSNG;BSc (Hons) Computing;BS;;;;;
00000117;CIS2001-N;2018/9;61;B;37;F;ABS;CPTSNG;BSc (Hons) Computing;BS;;;;;
00000117;CIS2021-N;2018/9;0;F;37;F;ABS;CPTSNG;BSc (Hons) Computing;BS;;;;;
00000129;COM3037-N;2018/9;83;A;21;M;AA;CSFSNG;BSc (Hons) Computer Science with Foundation Year;BS;;;;;
00000138;GAV4017-N;2018/9;20;F;21;F;P;CMA;MA Concept Art;MA;;;;;
00000139;PER3008-N;2018/9;80;A;21;M;P;PLMSNG;BA (Hons) Performance for Live and Recorded Media;BA;;;;;
00000057;MED3055-N;2018/9;59;C;22;M;P;JOUSNG;BA (Hons) Journalism;BA;;;;;
00000064;GAV4017-N;2018/9;53;C;21;F;P;TDGMA;MA 3D Games Art;MA;;;;;
00000064;GAV4037-N;2018/9;54;C;21;F;P;TDGMA;MA 3D Games Art;MA;;;;;
00000069;GAV4017-N;2018/9;76;A;20;M;ABS;GMA;MA Games Design;MA;;;;;
00000079;CIS4019-N;2018/9;55;C;22;M;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00000079;CIS4020-N;2018/9;65;B;22;M;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00000097;COM3037-N;2018/9;14;F;18;F;P;CSSNG;BSc (Hons) Computer Science;BS;;;;;
00000099;COM3047-N;2018/9;67;B;57;M;P;UPSNG;BSc (Hons) Computer Games Programming;BS;;;;;
00000099;COM3050-N;2018/9;69;B;57;M;P;UPSNG;BSc (Hons) Computer Games Programming;BS;;;;;
00000121;CIS4019-N;2018/9;0;WD;19;M;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00000121;CIS4020-N;2018/9;0;WD;19;M;ABS;CBSMS;MSc Cybersecurity;MS;;;;;
00000122;GAV4017-N;2018/9;61;B;54;F;ABS;AQMA;MA Animation;MA;;;;;
00000122;GAV4033-N;2018/9;61;B;54;F;ABS;AQMA;MA Animation;MA;;;;;
00000125;GAV2011-N;2018/9;77;A;19;F;ABS;GMFSNG;BA (Hons) Computer Games Design (with Foundation Year);BA;;;;;
00000132;MED3055-N;2018/9;67;B;20;M;P;MMJSNG;BA (Hons) Multimedia Journalism;BA;;;;;
00000136;MUL3051-N;2018/9;60;B;18;F;NM;INFSNG;BSc (Hons) Information Technology;BS;;;;;
00000143;CIS4019-N;2018/9;70;A;20;M;PDG;CBSMS;MSc Cybersecurity;MS;;;;;
00000143;CIS4020-N;2018/9;75;A;20;M;PDG;CBSMS;MSc Cybersecurity;MS;;;;;
00000153;COM3037-N;2018/9;78;A;19;F;P;CPTSNG;BSc (Hons) Computing;BS;;;;;
00000044;GAV3009-N;2018/9;56;C;18;M;P;ZDSNG;BA (Hons) Computer Games Art;BA;;;;;
00000044;GAV3020-N;2018/9;66;B;18;M;P;ZDSNG;BA (Hons) Computer Games Art;BA;;;;;
00000045;COM3041-N;2018/9;0;DA;44;F;ABS;CSCPRD;MComp (Hons) Computer Science;MC;;;;;
00000056;CIS4023-N;2018/9;61;B;18;F;P;CSMS;MSc Computer Science;MS;;;;;
00000061;GAV3020-N;2018/9;74;A;20;F;P;UPSNG;BSc (Hons) Computer Games Programming;BS;;;;;
00000071;GAV3009-N;2018/9;68;B;18;F;P;CANSNG;BA (Hons) Computer Games Animation;BA;;;;;
